text,urgency
"服务器挂了快来看看",紧急
"我发烧了在医院",紧急
"生产线停机了",紧急
"数据库连接失败",紧急
"客户投诉升级",紧急
"明天下午三点开会",重要
"这个方案需要你确认",重要
"周报请今天提交",重要
"项目进度更新",重要
"Q2预算需要审批",重要
"快递到了放门口",一般
"今晚吃什么",一般
"新来了个同事",一般
"WiFi密码是多少",一般
"打印机卡纸了",一般
"双十一大促开始了",可忽略
"拼多多帮我砍一刀",可忽略
"会员积分即将过期",可忽略
"免费领取保险",可忽略
"你中奖了！",可忽略
"服务器挂了快来看看",紧急
"我发烧了在医院",紧急
"生产线停机了",紧急
"数据库连接失败",紧急
"客户投诉升级",紧急
"明天下午三点开会",重要
"这个方案需要你确认",重要
"周报请今天提交",重要
"项目进度更新",重要
"Q2预算需要审批",重要
"快递到了放门口",一般
"今晚吃什么",一般
"新来了个同事",一般
"WiFi密码是多少",一般
"打印机卡纸了",一般
"双十一大促开始了",可忽略
"拼多多帮我砍一刀",可忽略
"会员积分即将过期",可忽略
"免费领取保险",可忽略
"你中奖了！",可忽略
"服务器挂了快来看看",紧急
"我发烧了在医院",紧急
"生产线停机了",紧急
"数据库连接失败",紧急
"客户投诉升级",紧急
"明天下午三点开会",重要
"这个方案需要你确认",重要
"周报请今天提交",重要
"项目进度更新",重要
"Q2预算需要审批",重要
"快递到了放门口",一般
"今晚吃什么",一般
"新来了个同事",一般
"WiFi密码是多少",一般
"打印机卡纸了",一般
"双十一大促开始了",可忽略
"拼多多帮我砍一刀",可忽略
"会员积分即将过期",可忽略
"免费领取保险",可忽略
"你中奖了！",可忽略
"服务器挂了快来看看",紧急
"我发烧了在医院",紧急
"生产线停机了",紧急
"数据库连接失败",紧急
"客户投诉升级",紧急
"明天下午三点开会",重要
"这个方案需要你确认",重要
"周报请今天提交",重要
"项目进度更新",重要
"Q2预算需要审批",重要
"快递到了放门口",一般
"今晚吃什么",一般
"新来了个同事",一般
"WiFi密码是多少",一般
"打印机卡纸了",一般
"双十一大促开始了",可忽略
"拼多多帮我砍一刀",可忽略
"会员积分即将过期",可忽略
"免费领取保险",可忽略
"你中奖了！",可忽略
"服务器挂了快来看看",紧急
"我发烧了在医院",紧急
"生产线停机了",紧急
"数据库连接失败",紧急
"客户投诉升级",紧急
"明天下午三点开会",重要
"这个方案需要你确认",重要
"周报请今天提交",重要
"项目进度更新",重要
"Q2预算需要审批",重要
"快递到了放门口",一般
"今晚吃什么",一般
"新来了个同事",一般
"WiFi密码是多少",一般
"打印机卡纸了",一般
"双十一大促开始了",可忽略
"拼多多帮我砍一刀",可忽略
"会员积分即将过期",可忽略
"免费领取保险",可忽略
"你中奖了！",可忽略
"服务器挂了快来看看",紧急
"我发烧了在医院",紧急
"生产线停机了",紧急
"数据库连接失败",紧急
"客户投诉升级",紧急
"明天下午三点开会",重要
"这个方案需要你确认",重要
"周报请今天提交",重要
"项目进度更新",重要
"Q2预算需要审批",重要
"快递到了放门口",一般
"今晚吃什么",一般
"新来了个同事",一般
"WiFi密码是多少",一般
"打印机卡纸了",一般
"双十一大促开始了",可忽略
"拼多多帮我砍一刀",可忽略
"会员积分即将过期",可忽略
"免费领取保险",可忽略
"你中奖了！",可忽略
"服务器挂了快来看看",紧急
"我发烧了在医院",紧急
"生产线停机了",紧急
"数据库连接失败",紧急
"客户投诉升级",紧急
"明天下午三点开会",重要
"这个方案需要你确认",重要
"周报请今天提交",重要
"项目进度更新",重要
"Q2预算需要审批",重要
"快递到了放门口",一般
"今晚吃什么",一般
"新来了个同事",一般
